April 23, 2017 19:17:32:685000		MOVE  NAO
April 23, 2017 19:17:38:123000	127.0.0.1-9559	SendMessage
April 23, 2017 19:17:38:125000	127.0.0.1-9559	[['127.0.0.1:9559', 'NEW NAO']]
April 23, 2017 19:17:38:127000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
April 23, 2017 19:17:38:132000	127.0.0.1-9559	read messages
April 23, 2017 19:17:38:135000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
April 23, 2017 19:17:38:137000	127.0.0.1-9559	THE LEADER IS: 
April 23, 2017 19:17:38:137000	127.0.0.1-9557	THE LEADER IS: 
April 23, 2017 19:17:38:141000	127.0.0.1-9557	127.0.0.1:9557
April 23, 2017 19:17:38:145000	127.0.0.1-9557	STARTING LOOKFORTABLE
April 23, 2017 19:17:38:148000	127.0.0.1-9557	FindObjectOfInterest
April 23, 2017 19:17:40:507000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:17:40:516000	127.0.0.1-9557	[373, 348]
April 23, 2017 19:17:40:518000	127.0.0.1-9557	[(308, 312), (487, 299), (638, 303), (373, 348), [640, 480]]
April 23, 2017 19:17:40:526000	127.0.0.1-9557	initial top cam
April 23, 2017 19:17:40:534000	127.0.0.1-9559	initial top cam
April 23, 2017 19:17:42:529000	127.0.0.1-9557	object found
April 23, 2017 19:17:42:533000	127.0.0.1-9557	STARTING GoToTable
April 23, 2017 19:17:42:535000	127.0.0.1-9557	STARTING behaviourMoveToCornerOfObject
April 23, 2017 19:17:42:537000	127.0.0.1-9557	ALign image to centre
April 23, 2017 19:17:43:761000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:17:43:763000	127.0.0.1-9557	[368, 351]
April 23, 2017 19:17:43:767000	127.0.0.1-9557	[(303, 317), (495, 299), (638, 331), (368, 351), [640, 480]]
April 23, 2017 19:17:43:810000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:17:45:074000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:17:45:078000	127.0.0.1-9557	[368, 351]
April 23, 2017 19:17:45:083000	127.0.0.1-9557	[(303, 317), (495, 299), (638, 331), (368, 351), [640, 480]]
April 23, 2017 19:17:52:389000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:17:52:392000	127.0.0.1-9557	[388, 347]
April 23, 2017 19:17:52:395000	127.0.0.1-9557	[(323, 315), (579, 287), (638, 323), (388, 347), [640, 480]]
April 23, 2017 19:17:52:868000	127.0.0.1-9559	50
April 23, 2017 19:17:53:802000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:17:53:815000	127.0.0.1-9557	[380, 347]
April 23, 2017 19:17:53:818000	127.0.0.1-9557	[(323, 318), (531, 299), (638, 319), (380, 347), [640, 480]]
April 23, 2017 19:17:57:216000	127.0.0.1-9559	0
April 23, 2017 19:18:01:395000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:01:398000	127.0.0.1-9557	[380, 351]
April 23, 2017 19:18:01:400000	127.0.0.1-9557	[(319, 317), (564, 299), (638, 335), (380, 351), [640, 480]]
April 23, 2017 19:18:01:499000	127.0.0.1-9559	-50
April 23, 2017 19:18:02:672000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:02:674000	127.0.0.1-9557	[376, 351]
April 23, 2017 19:18:02:678000	127.0.0.1-9557	[(316, 312), (551, 299), (638, 335), (376, 351), [640, 480]]
April 23, 2017 19:18:05:757000	127.0.0.1-9559	-100
April 23, 2017 19:18:08:026000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:08:028000	127.0.0.1-9559	[256, 211]
April 23, 2017 19:18:08:031000	127.0.0.1-9559	[(172, 180), (323, 163), (435, 175), (256, 211), [640, 480]]
April 23, 2017 19:18:09:858000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:09:861000	127.0.0.1-9557	[372, 351]
April 23, 2017 19:18:09:863000	127.0.0.1-9557	[(312, 312), (555, 295), (638, 328), (372, 351), [640, 480]]
April 23, 2017 19:18:11:095000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:11:097000	127.0.0.1-9557	[372, 351]
April 23, 2017 19:18:11:099000	127.0.0.1-9557	[(311, 319), (577, 299), (638, 335), (372, 351), [640, 480]]
April 23, 2017 19:18:18:392000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:18:394000	127.0.0.1-9557	[376, 351]
April 23, 2017 19:18:18:396000	127.0.0.1-9557	[(319, 319), (527, 303), (638, 339), (376, 351), [640, 480]]
April 23, 2017 19:18:19:635000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:19:639000	127.0.0.1-9557	[372, 351]
April 23, 2017 19:18:19:655000	127.0.0.1-9557	[(316, 312), (567, 299), (638, 335), (372, 351), [640, 480]]
April 23, 2017 19:18:25:777000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:25:783000	127.0.0.1-9559	[588, 339]
April 23, 2017 19:18:25:786000	127.0.0.1-9559	[(480, 296), (609, 287), (638, 323), (588, 339), [640, 480]]
April 23, 2017 19:18:26:978000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:26:981000	127.0.0.1-9557	[336, 351]
April 23, 2017 19:18:26:983000	127.0.0.1-9557	[(280, 312), (507, 291), (638, 295), (336, 351), [640, 480]]
April 23, 2017 19:18:27:953000	127.0.0.1-9559	STARTING GoToTable
