May 31, 2017 22:23:06:681000		MOVE  NAO
May 31, 2017 22:23:12:094000	127.0.0.1-9557	SendMessage
May 31, 2017 22:23:12:096000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:23:12:098000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:23:12:106000	127.0.0.1-9557	read messages
May 31, 2017 22:23:12:114000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 22:23:14:266000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:23:14:268000	127.0.0.1-9557	[444, 79]
May 31, 2017 22:23:14:271000	127.0.0.1-9557	[(424, 64), (428, 60), (475, 67), (444, 79), [640, 480]]
May 31, 2017 22:23:16:925000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:23:16:927000	127.0.0.1-9557	252
May 31, 2017 22:23:16:929000	127.0.0.1-9557	638
May 31, 2017 22:23:16:931000	127.0.0.1-9557	0
May 31, 2017 22:23:16:933000	127.0.0.1-9557	183
May 31, 2017 22:23:16:936000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:23:20:808000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:23:20:813000	127.0.0.1-9557	248
May 31, 2017 22:23:20:815000	127.0.0.1-9557	638
May 31, 2017 22:23:20:817000	127.0.0.1-9557	0
May 31, 2017 22:23:20:819000	127.0.0.1-9557	183
May 31, 2017 22:23:20:841000	127.0.0.1-9557	mask sizes
May 31, 2017 22:23:20:844000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:23:20:855000	127.0.0.1-9557	left value Y
May 31, 2017 22:23:20:857000	127.0.0.1-9557	170
May 31, 2017 22:23:20:859000	127.0.0.1-9557	left value Y
May 31, 2017 22:23:20:861000	127.0.0.1-9557	170
May 31, 2017 22:23:20:863000	127.0.0.1-9557	left value Y
May 31, 2017 22:23:20:866000	127.0.0.1-9557	166
May 31, 2017 22:23:20:870000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 22:23:31:102000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:23:31:104000	127.0.0.1-9557	148
May 31, 2017 22:23:31:107000	127.0.0.1-9557	638
May 31, 2017 22:23:31:111000	127.0.0.1-9557	0
May 31, 2017 22:23:31:115000	127.0.0.1-9557	183
May 31, 2017 22:23:41:700000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:23:41:703000	127.0.0.1-9557	120
May 31, 2017 22:23:41:706000	127.0.0.1-9557	638
May 31, 2017 22:23:41:708000	127.0.0.1-9557	0
May 31, 2017 22:23:41:710000	127.0.0.1-9557	291
May 31, 2017 22:23:58:644000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:23:58:646000	127.0.0.1-9557	0
May 31, 2017 22:23:58:648000	127.0.0.1-9557	638
May 31, 2017 22:23:58:651000	127.0.0.1-9557	0
May 31, 2017 22:23:58:654000	127.0.0.1-9557	279
May 31, 2017 22:24:10:556000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:24:10:561000	127.0.0.1-9557	-1
May 31, 2017 22:24:10:563000	127.0.0.1-9557	-1
May 31, 2017 22:24:10:565000	127.0.0.1-9557	-1
May 31, 2017 22:24:10:567000	127.0.0.1-9557	-1
May 31, 2017 22:24:23:843000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:24:23:847000	127.0.0.1-9557	-1
May 31, 2017 22:24:23:849000	127.0.0.1-9557	-1
May 31, 2017 22:24:23:852000	127.0.0.1-9557	-1
May 31, 2017 22:24:23:854000	127.0.0.1-9557	-1
May 31, 2017 22:24:42:744000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:24:42:746000	127.0.0.1-9557	-1
May 31, 2017 22:24:42:749000	127.0.0.1-9557	-1
May 31, 2017 22:24:42:756000	127.0.0.1-9557	-1
May 31, 2017 22:24:42:763000	127.0.0.1-9557	-1
May 31, 2017 22:24:55:719000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:24:55:724000	127.0.0.1-9557	0
May 31, 2017 22:24:55:728000	127.0.0.1-9557	11
May 31, 2017 22:24:55:743000	127.0.0.1-9557	0
May 31, 2017 22:24:55:753000	127.0.0.1-9557	11
May 31, 2017 22:24:55:881000	127.0.0.1-9557	11
May 31, 2017 22:25:06:116000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:25:06:122000	127.0.0.1-9557	0
May 31, 2017 22:25:06:126000	127.0.0.1-9557	11
May 31, 2017 22:25:06:133000	127.0.0.1-9557	0
May 31, 2017 22:25:06:136000	127.0.0.1-9557	11
May 31, 2017 22:25:06:140000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:25:10:572000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:25:10:574000	127.0.0.1-9557	0
May 31, 2017 22:25:10:576000	127.0.0.1-9557	11
May 31, 2017 22:25:10:578000	127.0.0.1-9557	0
May 31, 2017 22:25:10:579000	127.0.0.1-9557	11
