June 06, 2017 21:39:21:466000		MOVE  NAO
June 06, 2017 21:39:27:141000	127.0.0.1-9557	SendMessage
June 06, 2017 21:39:27:154000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 21:39:27:169000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 21:39:27:226000	127.0.0.1-9557	read messages
June 06, 2017 21:39:27:293000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 06, 2017 21:39:27:341000	127.0.0.1-9557	START MOVING TO OTHER SIDE MoveToOtherSideOfObject
June 06, 2017 21:39:27:354000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:30:058000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:30:061000	127.0.0.1-9557	[220, 251]
June 06, 2017 21:39:30:064000	127.0.0.1-9557	[(216, 244), (216, 244), (227, 251), (220, 251), [640, 480]]
June 06, 2017 21:39:33:456000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:34:817000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:34:828000	127.0.0.1-9557	[232, 223]
June 06, 2017 21:39:34:831000	127.0.0.1-9557	[(232, 220), (240, 216), (243, 219), (232, 223), [640, 480]]
June 06, 2017 21:39:38:405000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:39:882000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:39:893000	127.0.0.1-9557	[248, 243]
June 06, 2017 21:39:39:901000	127.0.0.1-9557	[(248, 240), (248, 240), (255, 243), (248, 243), [640, 480]]
June 06, 2017 21:39:43:373000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:44:673000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:44:675000	127.0.0.1-9557	[384, 259]
June 06, 2017 21:39:44:679000	127.0.0.1-9557	[(384, 256), (384, 256), (395, 259), (384, 259), [640, 480]]
June 06, 2017 21:39:47:433000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:48:717000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:48:720000	127.0.0.1-9557	[340, 387]
June 06, 2017 21:39:48:725000	127.0.0.1-9557	[(340, 384), (340, 384), (351, 387), (340, 387), [640, 480]]
June 06, 2017 21:39:51:774000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:39:53:093000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:53:096000	127.0.0.1-9557	[348, 387]
June 06, 2017 21:39:53:103000	127.0.0.1-9557	[(348, 384), (348, 384), (355, 387), (348, 387), [640, 480]]
June 06, 2017 21:39:56:728000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:39:56:730000	127.0.0.1-9557	[480, 331]
June 06, 2017 21:39:56:733000	127.0.0.1-9557	[(471, 287), (475, 283), (638, 331), (480, 331), [640, 480]]
June 06, 2017 21:39:56:926000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:39:58:970000	127.0.0.1-9557	DIRECTION TO MOVE IS
June 06, 2017 21:39:58:974000	127.0.0.1-9557	
June 06, 2017 21:40:00:391000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:00:393000	127.0.0.1-9557	[480, 331]
June 06, 2017 21:40:00:395000	127.0.0.1-9557	[(471, 287), (475, 283), (638, 331), (480, 331), [640, 480]]
June 06, 2017 21:40:01:544000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:40:02:980000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:02:983000	127.0.0.1-9557	[348, 387]
June 06, 2017 21:40:02:986000	127.0.0.1-9557	[(348, 384), (348, 384), (355, 387), (348, 387), [640, 480]]
June 06, 2017 21:40:06:015000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:40:07:328000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:07:330000	127.0.0.1-9557	[348, 387]
June 06, 2017 21:40:07:344000	127.0.0.1-9557	[(348, 384), (348, 384), (355, 387), (348, 387), [640, 480]]
June 06, 2017 21:40:11:003000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:11:006000	127.0.0.1-9557	[480, 331]
June 06, 2017 21:40:11:008000	127.0.0.1-9557	[(471, 287), (475, 283), (638, 331), (480, 331), [640, 480]]
June 06, 2017 21:40:11:053000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:40:38:924000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:38:926000	127.0.0.1-9557	[497, 332]
June 06, 2017 21:40:38:929000	127.0.0.1-9557	[(359, 326), (500, 275), (559, 327), (497, 332), [640, 480]]
June 06, 2017 21:40:39:010000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:40:40:416000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:40:419000	127.0.0.1-9557	[324, 259]
June 06, 2017 21:40:40:422000	127.0.0.1-9557	[(324, 252), (324, 252), (331, 259), (324, 259), [640, 480]]
June 06, 2017 21:40:43:795000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:40:45:061000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:45:068000	127.0.0.1-9557	[292, 407]
June 06, 2017 21:40:45:071000	127.0.0.1-9557	[(292, 400), (295, 399), (299, 403), (292, 407), [640, 480]]
June 06, 2017 21:40:48:729000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:40:48:733000	127.0.0.1-9557	[377, 336]
June 06, 2017 21:40:48:736000	127.0.0.1-9557	[(367, 326), (512, 279), (567, 335), (377, 336), [640, 480]]
June 06, 2017 21:40:48:750000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:41:16:495000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:16:498000	127.0.0.1-9557	[293, 344]
June 06, 2017 21:41:16:506000	127.0.0.1-9557	[(211, 333), (379, 279), (419, 339), (293, 344), [640, 480]]
June 06, 2017 21:41:16:694000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:41:18:018000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:18:023000	127.0.0.1-9557	[164, 411]
June 06, 2017 21:41:18:026000	127.0.0.1-9557	[(163, 406), (164, 404), (167, 411), (164, 411), [640, 480]]
June 06, 2017 21:41:21:481000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:41:22:751000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:22:756000	127.0.0.1-9557	[192, 415]
June 06, 2017 21:41:22:758000	127.0.0.1-9557	[(192, 412), (192, 412), (199, 415), (192, 415), [640, 480]]
June 06, 2017 21:41:25:970000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:41:27:270000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:27:272000	127.0.0.1-9557	[260, 415]
June 06, 2017 21:41:27:274000	127.0.0.1-9557	[(260, 412), (265, 411), (271, 415), (260, 415), [640, 480]]
June 06, 2017 21:41:30:672000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:41:31:937000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:31:943000	127.0.0.1-9557	[276, 251]
June 06, 2017 21:41:31:948000	127.0.0.1-9557	[(276, 244), (276, 244), (283, 251), (276, 251), [640, 480]]
June 06, 2017 21:41:35:336000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:41:36:651000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:36:667000	127.0.0.1-9557	[288, 395]
June 06, 2017 21:41:36:670000	127.0.0.1-9557	[(288, 392), (293, 391), (299, 395), (288, 395), [640, 480]]
June 06, 2017 21:41:40:130000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:40:134000	127.0.0.1-9557	[576, 355]
