June 26, 2017 20:23:04:580000		LiftLandTableRepeat
June 26, 2017 20:23:10:250000	127.0.0.1-9559	SendMessage
June 26, 2017 20:23:10:252000	127.0.0.1-9559	[['127.0.0.1:9559', 'NEW NAO']]
June 26, 2017 20:23:10:253000	127.0.0.1-9559	[['127.0.0.1:9559', 'NEW NAO']]
June 26, 2017 20:23:10:256000	127.0.0.1-9559	read messages
June 26, 2017 20:23:10:260000	127.0.0.1-9559	['127.0.0.1:9559', 'NEW NAO']
June 26, 2017 20:23:10:271000	127.0.0.1-9559	send distance message
June 26, 2017 20:23:10:291000	127.0.0.1-9559	SendDistanceToObjectMessage
June 26, 2017 20:23:10:293000	127.0.0.1-9559	0
June 26, 2017 20:23:10:442000	127.0.0.1-9557	SendMessage
June 26, 2017 20:23:10:446000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 26, 2017 20:23:10:449000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 26, 2017 20:23:10:467000	127.0.0.1-9557	read messages
June 26, 2017 20:23:10:470000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 26, 2017 20:23:10:472000	127.0.0.1-9557	send distance message
June 26, 2017 20:23:10:477000	127.0.0.1-9557	SendDistanceToObjectMessage
June 26, 2017 20:23:10:479000	127.0.0.1-9557	0
June 26, 2017 20:23:10:495000	127.0.0.1-9557	127.0.0.1:9557
June 26, 2017 20:23:10:498000	127.0.0.1-9557	THE LEADER IS: 
June 26, 2017 20:23:10:500000	127.0.0.1-9557	127.0.0.1:9557
June 26, 2017 20:23:13:037000	127.0.0.1-9559	127.0.0.1:9557
June 26, 2017 20:23:13:058000	127.0.0.1-9559	THE LEADER IS: 
June 26, 2017 20:23:13:067000	127.0.0.1-9559	127.0.0.1:9557
June 26, 2017 20:23:13:078000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 26, 2017 20:23:13:080000	127.0.0.1-9557	[574, 44]
June 26, 2017 20:23:13:094000	127.0.0.1-9557	[(226, 37), (584, 28), (638, 39), (574, 44), [640, 480]]
