June 05, 2017 21:38:32:931000		MOVE  NAO
June 05, 2017 21:38:37:900000	127.0.0.1-9557	SendMessage
June 05, 2017 21:38:37:903000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 05, 2017 21:38:37:905000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 05, 2017 21:38:37:937000	127.0.0.1-9557	read messages
June 05, 2017 21:38:37:996000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 05, 2017 21:38:38:046000	127.0.0.1-9557	START MOVING TO OTHER SIDE MoveToOtherSideOfObject
June 05, 2017 21:38:38:051000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:38:40:301000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:38:40:304000	127.0.0.1-9557	[236, 387]
June 05, 2017 21:38:40:306000	127.0.0.1-9557	[(236, 384), (239, 383), (247, 387), (236, 387), [640, 480]]
June 05, 2017 21:38:43:641000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:38:44:919000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:38:44:923000	127.0.0.1-9557	[300, 251]
June 05, 2017 21:38:44:926000	127.0.0.1-9557	[(300, 248), (304, 244), (311, 251), (300, 251), [640, 480]]
June 05, 2017 21:38:52:158000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:38:55:469000	127.0.0.1-9557	100
June 05, 2017 21:38:58:512000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:02:248000	127.0.0.1-9557	50
June 05, 2017 21:39:05:283000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:06:649000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:06:654000	127.0.0.1-9557	[312, 103]
June 05, 2017 21:39:06:665000	127.0.0.1-9557	[(308, 96), (308, 96), (315, 103), (312, 103), [640, 480]]
June 05, 2017 21:39:12:970000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:12:973000	127.0.0.1-9557	[461, 300]
June 05, 2017 21:39:12:981000	127.0.0.1-9557	[(435, 255), (519, 247), (635, 295), (461, 300), [640, 480]]
June 05, 2017 21:39:13:129000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:39:15:292000	127.0.0.1-9557	DIRECTION TO MOVE IS
June 05, 2017 21:39:15:294000	127.0.0.1-9557	
June 05, 2017 21:39:16:599000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:16:601000	127.0.0.1-9557	[453, 332]
June 05, 2017 21:39:16:603000	127.0.0.1-9557	[(435, 287), (475, 279), (635, 327), (453, 332), [640, 480]]
June 05, 2017 21:39:16:869000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:18:208000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:18:211000	127.0.0.1-9557	[348, 399]
June 05, 2017 21:39:18:215000	127.0.0.1-9557	[(348, 396), (348, 396), (355, 399), (348, 399), [640, 480]]
June 05, 2017 21:39:25:635000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:29:067000	127.0.0.1-9557	100
June 05, 2017 21:39:32:295000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:35:751000	127.0.0.1-9557	50
June 05, 2017 21:39:38:935000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:39:40:274000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:40:282000	127.0.0.1-9557	[368, 283]
June 05, 2017 21:39:40:285000	127.0.0.1-9557	[(368, 280), (368, 280), (375, 283), (368, 283), [640, 480]]
June 05, 2017 21:39:46:070000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:39:46:072000	127.0.0.1-9557	[444, 291]
June 05, 2017 21:39:46:074000	127.0.0.1-9557	[(435, 251), (459, 243), (635, 291), (444, 291), [640, 480]]
June 05, 2017 21:39:46:082000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:40:06:114000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:06:119000	127.0.0.1-9557	[368, 331]
June 05, 2017 21:40:06:123000	127.0.0.1-9557	[(368, 316), (471, 275), (559, 323), (368, 331), [640, 480]]
June 05, 2017 21:40:06:159000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:40:07:457000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:07:459000	127.0.0.1-9557	[296, 399]
June 05, 2017 21:40:07:462000	127.0.0.1-9557	[(296, 396), (296, 396), (303, 399), (296, 399), [640, 480]]
June 05, 2017 21:40:14:651000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:40:18:104000	127.0.0.1-9557	100
June 05, 2017 21:40:21:132000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:40:24:551000	127.0.0.1-9557	50
June 05, 2017 21:40:27:614000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:40:28:913000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:28:916000	127.0.0.1-9557	[252, 103]
June 05, 2017 21:40:28:919000	127.0.0.1-9557	[(248, 96), (248, 96), (255, 103), (252, 103), [640, 480]]
June 05, 2017 21:40:34:259000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:34:261000	127.0.0.1-9557	[379, 328]
June 05, 2017 21:40:34:264000	127.0.0.1-9557	[(367, 315), (411, 275), (559, 327), (379, 328), [640, 480]]
June 05, 2017 21:40:34:384000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:40:54:372000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:54:374000	127.0.0.1-9557	[193, 336]
June 05, 2017 21:40:54:380000	127.0.0.1-9557	[(147, 327), (287, 279), (347, 281), (193, 336), [640, 480]]
June 05, 2017 21:40:54:576000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:40:55:906000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:40:55:908000	127.0.0.1-9557	[110, 407]
June 05, 2017 21:40:55:912000	127.0.0.1-9557	[(108, 406), (112, 400), (119, 403), (110, 407), [640, 480]]
June 05, 2017 21:40:59:141000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:00:398000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:00:400000	127.0.0.1-9557	[132, 387]
June 05, 2017 21:41:00:402000	127.0.0.1-9557	[(132, 384), (135, 383), (139, 387), (132, 387), [640, 480]]
June 05, 2017 21:41:03:522000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:04:814000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:04:822000	127.0.0.1-9557	[224, 379]
June 05, 2017 21:41:04:825000	127.0.0.1-9557	[(224, 376), (227, 375), (235, 379), (224, 379), [640, 480]]
June 05, 2017 21:41:07:985000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:09:267000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:09:285000	127.0.0.1-9557	[348, 395]
June 05, 2017 21:41:09:296000	127.0.0.1-9557	[(348, 392), (351, 391), (355, 395), (348, 395), [640, 480]]
June 05, 2017 21:41:17:114000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:20:628000	127.0.0.1-9557	100
June 05, 2017 21:41:23:661000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:27:073000	127.0.0.1-9557	50
June 05, 2017 21:41:30:136000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:31:397000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:31:401000	127.0.0.1-9557	[348, 279]
June 05, 2017 21:41:31:403000	127.0.0.1-9557	[(348, 276), (348, 276), (359, 279), (348, 279), [640, 480]]
June 05, 2017 21:41:36:984000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:36:990000	127.0.0.1-9557	[536, 323]
June 05, 2017 21:41:36:993000	127.0.0.1-9557	[(395, 309), (471, 271), (599, 287), (536, 323), [640, 480]]
June 05, 2017 21:41:37:128000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:41:57:083000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:57:086000	127.0.0.1-9557	[256, 331]
June 05, 2017 21:41:57:088000	127.0.0.1-9557	[(255, 326), (387, 279), (484, 280), (256, 331), [640, 480]]
June 05, 2017 21:41:57:131000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:41:58:453000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:41:58:467000	127.0.0.1-9557	[236, 395]
June 05, 2017 21:41:58:472000	127.0.0.1-9557	[(236, 392), (236, 392), (243, 395), (236, 395), [640, 480]]
June 05, 2017 21:42:02:128000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:03:374000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:03:376000	127.0.0.1-9557	[308, 391]
June 05, 2017 21:42:03:379000	127.0.0.1-9557	[(308, 388), (308, 388), (315, 391), (308, 391), [640, 480]]
June 05, 2017 21:42:10:567000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:13:980000	127.0.0.1-9557	100
June 05, 2017 21:42:17:033000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:20:521000	127.0.0.1-9557	50
June 05, 2017 21:42:23:578000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:24:847000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:24:851000	127.0.0.1-9557	[320, 267]
June 05, 2017 21:42:24:853000	127.0.0.1-9557	[(320, 264), (327, 263), (331, 267), (320, 267), [640, 480]]
June 05, 2017 21:42:30:300000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:30:302000	127.0.0.1-9557	[456, 331]
June 05, 2017 21:42:30:305000	127.0.0.1-9557	[(332, 308), (439, 279), (572, 280), (456, 331), [640, 480]]
June 05, 2017 21:42:30:324000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:42:50:276000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:50:278000	127.0.0.1-9557	[252, 339]
June 05, 2017 21:42:50:280000	127.0.0.1-9557	[(128, 316), (303, 283), (408, 284), (252, 339), [640, 480]]
June 05, 2017 21:42:50:318000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:51:654000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:51:657000	127.0.0.1-9557	[108, 379]
June 05, 2017 21:42:51:661000	127.0.0.1-9557	[(108, 376), (108, 376), (115, 379), (108, 379), [640, 480]]
June 05, 2017 21:42:54:995000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:42:56:248000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:42:56:250000	127.0.0.1-9557	[200, 383]
June 05, 2017 21:42:56:252000	127.0.0.1-9557	[(200, 380), (200, 380), (203, 383), (200, 383), [640, 480]]
June 05, 2017 21:42:59:564000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:00:819000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:00:821000	127.0.0.1-9557	[260, 371]
June 05, 2017 21:43:00:823000	127.0.0.1-9557	[(260, 368), (260, 368), (275, 371), (260, 371), [640, 480]]
June 05, 2017 21:43:03:962000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:05:239000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:05:245000	127.0.0.1-9557	[348, 251]
June 05, 2017 21:43:05:252000	127.0.0.1-9557	[(347, 246), (348, 244), (351, 251), (348, 251), [640, 480]]
June 05, 2017 21:43:12:463000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:15:953000	127.0.0.1-9557	100
June 05, 2017 21:43:19:009000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:22:473000	127.0.0.1-9557	50
June 05, 2017 21:43:25:576000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:26:861000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:26:863000	127.0.0.1-9557	[380, 271]
June 05, 2017 21:43:26:865000	127.0.0.1-9557	[(380, 268), (380, 268), (383, 271), (380, 271), [640, 480]]
June 05, 2017 21:43:32:413000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:32:416000	127.0.0.1-9557	[512, 331]
June 05, 2017 21:43:32:418000	127.0.0.1-9557	[(376, 300), (539, 275), (638, 304), (512, 331), [640, 480]]
June 05, 2017 21:43:32:449000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:43:52:454000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:52:459000	127.0.0.1-9557	[396, 347]
June 05, 2017 21:43:52:462000	127.0.0.1-9557	[(271, 315), (443, 291), (603, 297), (396, 347), [640, 480]]
June 05, 2017 21:43:52:480000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:43:53:788000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:43:53:790000	127.0.0.1-9557	[308, 391]
June 05, 2017 21:43:53:792000	127.0.0.1-9557	[(308, 384), (308, 384), (319, 391), (308, 391), [640, 480]]
June 05, 2017 21:44:01:134000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:04:658000	127.0.0.1-9557	100
June 05, 2017 21:44:07:753000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:11:027000	127.0.0.1-9557	50
June 05, 2017 21:44:14:057000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:15:336000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:44:15:342000	127.0.0.1-9557	[324, 271]
June 05, 2017 21:44:15:346000	127.0.0.1-9557	[(324, 268), (328, 264), (335, 267), (324, 271), [640, 480]]
June 05, 2017 21:44:20:792000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:44:20:795000	127.0.0.1-9557	[396, 343]
June 05, 2017 21:44:20:800000	127.0.0.1-9557	[(280, 308), (483, 283), (600, 292), (396, 343), [640, 480]]
June 05, 2017 21:44:20:872000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 05, 2017 21:44:41:134000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:44:41:140000	127.0.0.1-9557	[244, 343]
June 05, 2017 21:44:41:146000	127.0.0.1-9557	[(175, 317), (381, 287), (519, 303), (244, 343), [640, 480]]
June 05, 2017 21:44:41:159000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:42:524000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:44:42:531000	127.0.0.1-9557	[244, 383]
June 05, 2017 21:44:42:541000	127.0.0.1-9557	[(244, 380), (247, 379), (251, 383), (244, 383), [640, 480]]
June 05, 2017 21:44:46:323000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:47:573000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 05, 2017 21:44:47:577000	127.0.0.1-9557	[308, 383]
June 05, 2017 21:44:47:581000	127.0.0.1-9557	[(308, 380), (308, 380), (319, 383), (308, 383), [640, 480]]
June 05, 2017 21:44:54:779000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:44:58:111000	127.0.0.1-9557	100
June 05, 2017 21:45:01:134000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:45:04:619000	127.0.0.1-9557	50
June 05, 2017 21:45:07:788000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 05, 2017 21:45:09:062000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
