May 01, 2017 09:17:10:529000		MOVE  NAO
May 01, 2017 09:17:16:001000	127.0.0.1-9557	SendMessage
May 01, 2017 09:17:16:007000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 01, 2017 09:17:16:009000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 01, 2017 09:17:16:037000	127.0.0.1-9559	SendMessage
May 01, 2017 09:17:16:040000	127.0.0.1-9559	[['127.0.0.1:9559', 'NEW NAO']]
May 01, 2017 09:17:16:045000	127.0.0.1-9559	[['127.0.0.1:9559', 'NEW NAO']]
May 01, 2017 09:17:16:049000	127.0.0.1-9557	read messages
May 01, 2017 09:17:16:052000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 01, 2017 09:17:16:057000	127.0.0.1-9557	STARTING LOOKFORTABLE
May 01, 2017 09:17:16:064000	127.0.0.1-9557	FindObjectOfInterest
May 01, 2017 09:17:16:147000	127.0.0.1-9559	read messages
May 01, 2017 09:17:16:172000	127.0.0.1-9559	['127.0.0.1:9559', 'NEW NAO']
May 01, 2017 09:17:16:238000	127.0.0.1-9559	STARTING LOOKFORTABLE
May 01, 2017 09:17:16:261000	127.0.0.1-9559	FindObjectOfInterest
May 01, 2017 09:17:18:753000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 01, 2017 09:17:18:759000	127.0.0.1-9557	[228, 478]
May 01, 2017 09:17:18:762000	127.0.0.1-9557	[(1, 348), (6, 347), (571, 469), (228, 478), [640, 480]]
May 01, 2017 09:17:19:019000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
May 01, 2017 09:17:19:022000	127.0.0.1-9559	[400, 478]
May 01, 2017 09:17:19:027000	127.0.0.1-9559	[(383, 359), (389, 351), (638, 355), (400, 478), [640, 480]]
May 01, 2017 09:17:19:242000	127.0.0.1-9557	initial top cam
May 01, 2017 09:17:19:306000	127.0.0.1-9559	initial top cam
May 01, 2017 09:17:21:257000	127.0.0.1-9557	object found
May 01, 2017 09:17:21:261000	127.0.0.1-9557	9557
May 01, 2017 09:17:21:267000	127.0.0.1-9557	send distance message
May 01, 2017 09:17:21:283000	127.0.0.1-9557	SendDistanceToObjectMessage
May 01, 2017 09:17:21:293000	127.0.0.1-9557	430
May 01, 2017 09:17:21:318000	127.0.0.1-9559	object found
May 01, 2017 09:17:21:322000	127.0.0.1-9559	9559
