June 01, 2017 06:15:03:112000		MOVE  NAO
June 01, 2017 06:15:08:617000	127.0.0.1-9557	SendMessage
June 01, 2017 06:15:08:620000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:15:08:624000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:15:08:643000	127.0.0.1-9557	read messages
June 01, 2017 06:15:08:654000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 06:15:11:385000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:15:11:387000	127.0.0.1-9557	[316, 83]
June 01, 2017 06:15:11:388000	127.0.0.1-9557	[(300, 68), (304, 64), (331, 71), (316, 83), [640, 480]]
June 01, 2017 06:15:13:978000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:15:13:982000	127.0.0.1-9557	268
June 01, 2017 06:15:13:985000	127.0.0.1-9557	638
June 01, 2017 06:15:13:988000	127.0.0.1-9557	0
June 01, 2017 06:15:13:990000	127.0.0.1-9557	183
June 01, 2017 06:15:13:994000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:15:18:054000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:15:18:058000	127.0.0.1-9557	248
June 01, 2017 06:15:18:061000	127.0.0.1-9557	638
June 01, 2017 06:15:18:063000	127.0.0.1-9557	0
June 01, 2017 06:15:18:065000	127.0.0.1-9557	179
June 01, 2017 06:15:18:086000	127.0.0.1-9557	mask sizes
June 01, 2017 06:15:18:088000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:15:18:102000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:18:107000	127.0.0.1-9557	174
June 01, 2017 06:15:18:113000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:18:117000	127.0.0.1-9557	170
June 01, 2017 06:15:18:123000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:18:128000	127.0.0.1-9557	166
June 01, 2017 06:15:25:895000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:15:25:898000	127.0.0.1-9557	180
June 01, 2017 06:15:25:900000	127.0.0.1-9557	638
June 01, 2017 06:15:25:901000	127.0.0.1-9557	0
June 01, 2017 06:15:25:902000	127.0.0.1-9557	179
June 01, 2017 06:15:25:921000	127.0.0.1-9557	mask sizes
June 01, 2017 06:15:25:925000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:15:25:941000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:25:945000	127.0.0.1-9557	174
June 01, 2017 06:15:25:949000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:25:953000	127.0.0.1-9557	170
June 01, 2017 06:15:25:957000	127.0.0.1-9557	left value Y
June 01, 2017 06:15:25:960000	127.0.0.1-9557	170
June 01, 2017 06:15:25:973000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:15:36:249000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:15:36:252000	127.0.0.1-9557	-1
June 01, 2017 06:15:36:253000	127.0.0.1-9557	-1
June 01, 2017 06:15:36:256000	127.0.0.1-9557	-1
June 01, 2017 06:15:36:259000	127.0.0.1-9557	-1
June 01, 2017 06:15:45:427000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:15:45:431000	127.0.0.1-9557	-1
